20230306-CD,20230306-E,20230306-M,20230312-CD,20230312-E,20230312-M,20230707-CD,20230707-E,20230707-M,20230922-CD,20230922-E,20230922-M
1000.0000000000001,30.700000000000003,,73.0,100.0,,79.19999999999999,,,62.00000000000001,43.0,
72.7,104.0,,600.0,63.0,,85.89999999999999,,,52.5,71.10000000000001,
600.0,62.7,,64.0,54.0,,35.199999999999996,,,59.60000000000001,109.0,
64.3,54.300000000000004,,63.0,71.0,,86.0,,,69.3,51.3,
63.099999999999994,71.39999999999999,,880.0,37.0,,129.0,,,59.0,17.5,
881.0,36.900000000000006,,580.0,1300.0,,47.4,,,44.2,130.0,
579.0,1310.0,,49.0,57.0,,264.0,,,36.5,99.7,
48.5,57.2,,97.0,130.0,,86.9,,,28.099999999999998,29.2,
96.80000000000001,129.0,,28.0,57.0,,136.0,,,65.3,150.0,
28.099999999999998,57.5,,390.0,130.0,,52.4,,,46.2,67.5,
386.0,126.0,,500.00000000000006,130.0,,47.2,,,45.5,120.0,
502.0,131.0,,18.0,170.0,,55.2,,,35.0,24.8,
18.4,170.0,,350.0,16.0,,67.7,,,72.8,97.7,
347.0,16.3,,84.0,37.0,,64.10000000000001,,,63.5,145.0,
84.3,36.5,,460.0,40.0,,65.5,,,46.1,47.6,
461.0,39.599999999999994,,73.0,450.0,,70.39999999999999,,,61.8,88.80000000000001,
73.1,447.0,,43.0,39.0,,63.60000000000001,,,63.300000000000004,70.0,
43.300000000000004,39.199999999999996,,37.0,92.0,,40.4,,,43.9,73.6,
37.0,91.9,,489.99999999999994,140.0,,209.0,,,114.0,163.0,
485.0,136.0,,540.0,42.0,,51.5,,,28.8,27.400000000000002,
544.0,41.8,,260.0,55.0,,30.3,,,91.3,47.0,
262.0,54.7,,240.0,240.0,,226.0,,,56.199999999999996,161.0,
236.0,235.00000000000003,,350.0,46.0,,55.0,,,75.10000000000001,133.0,
348.0,45.5,,100.0,56.0,,32.5,,,42.2,180.0,
100.0,55.5,,59.0,210.0,,36.4,,,81.6,523.0,
58.7,209.0,,320.0,180.0,,148.0,,,125.00000000000001,113.0,
321.0,182.0,,39.0,170.0,,19.3,,,53.6,54.4,
38.900000000000006,171.0,,820.0,38.0,,96.1,,,28.7,276.0,
821.0,38.2,,500.00000000000006,110.0,,141.0,,,21.7,43.599999999999994,
495.00000000000006,106.0,,510.0,60.99999999999999,,102.0,,,50.800000000000004,30.8,
512.0,61.3,,500.00000000000006,26.0,,77.4,,,51.1,93.89999999999999,
496.00000000000006,26.0,,1200.0,180.0,,62.9,,,33.0,304.0,
1180.0,182.0,,220.0,180.0,,62.800000000000004,,,40.699999999999996,49.3,
217.0,178.0,,170.0,320.0,,38.4,,,149.0,77.6,
170.0,322.0,,200.0,32.0,,64.69999999999999,,,63.099999999999994,68.4,
199.0,32.2,,41.0,43.0,,54.0,,,41.8,178.0,
40.8,43.300000000000004,,60.0,81.0,,51.1,,,31.000000000000004,121.0,
59.5,81.30000000000001,,900.0,890.0,,39.199999999999996,,,58.9,67.9,
898.0,886.0,,68.0,780.0,,23.8,,,60.199999999999996,26.0,
68.0,778.0,,60.0,160.0,,60.1,,,31.900000000000002,54.5,
59.89999999999999,157.0,,23.0,33.0,,93.3,,,37.7,316.0,
23.200000000000003,32.6,,33.0,41.0,,50.800000000000004,,,84.0,181.0,
33.3,41.4,,480.0,26.0,,83.3,,,49.8,45.6,
484.0,25.7,,150.0,21.0,,77.7,,,68.3,58.0,
146.0,20.5,,280.0,170.0,,71.8,,,263.0,143.0,
275.0,173.0,,31.000000000000004,180.0,,51.8,,,50.4,44.6,
30.8,178.0,,630.0,49.0,,69.4,,,30.3,81.30000000000001,
625.0,48.699999999999996,,530.0,160.0,,173.0,,,43.599999999999994,88.0,
533.0,164.0,,460.0,32.0,,119.0,,,82.5,179.0,
459.0,32.2,,37.0,43.0,,18.900000000000002,,,60.6,139.0,
37.1,42.699999999999996,,54.0,190.0,,59.800000000000004,,,89.1,29.099999999999998,
54.0,189.0,,190.0,110.0,,26.400000000000002,,,36.2,96.2,
185.0,107.0,,220.0,150.0,,28.9,,,480.0,133.0,
217.0,150.0,,110.0,76.0,,61.9,,,58.1,568.0,
112.0,76.3,,86.0,100.0,,105.0,,,40.3,110.0,
86.3,103.0,,530.0,70.0,,21.7,,,57.3,45.2,
528.0,70.0,,450.0,120.0,,54.9,,,31.800000000000004,38.900000000000006,
446.0,121.0,,35.0,300.0,,60.5,,,43.7,60.0,
34.7,297.0,,90.0,35.0,,57.3,,,53.8,92.0,
89.5,35.4,,600.0,240.0,,14.1,,,149.0,50.0,
600.0,243.99999999999997,,57.0,43.0,,24.400000000000002,,,61.7,17.5,
56.599999999999994,42.9,,540.0,170.0,,44.400000000000006,,,,25.9,
543.0,173.0,,420.0,150.0,,60.1,,,,63.60000000000001,
420.0,153.0,,780.0,29.0,,63.199999999999996,,,,28.0,
781.0,29.299999999999997,,60.99999999999999,98.0,,30.6,,,,39.800000000000004,
60.8,97.9,,830.0,79.0,,94.3,,,,40.1,
830.0,79.5,,100.0,150.0,,24.200000000000003,,,,280.0,
101.0,155.0,,44.0,260.0,,96.6,,,,28.299999999999997,
43.599999999999994,255.0,,520.0,170.0,,25.2,,,,42.4,
519.0,174.0,,55.0,55.0,,48.6,,,,64.69999999999999,
55.1,54.599999999999994,,570.0,150.0,,47.6,,,,97.8,
572.0,146.0,,39.0,38.0,,18.7,,,,39.300000000000004,
38.8,38.3,,46.0,320.0,,77.5,,,,73.4,
46.3,324.0,,300.0,170.0,,64.8,,,,32.099999999999994,
297.0,172.0,,200.0,97.0,,9.92,,,,92.2,
204.0,96.6,,380.0,28.0,,30.499999999999996,,,,141.0,
378.0,27.8,,33.0,150.0,,28.0,,,,128.0,
33.3,150.0,,240.0,170.0,,70.2,,,,77.0,
242.0,172.0,,40.0,150.0,,25.6,,,,54.4,
40.5,151.0,,79.0,98.0,,98.4,,,,148.0,
79.4,97.60000000000001,,35.0,37.0,,31.1,,,,68.9,
35.1,36.6,,44.0,26.0,,21.3,,,,53.4,
43.599999999999994,25.9,,110.0,34.0,,171.0,,,,28.8,
106.0,33.800000000000004,,45.0,250.00000000000003,,81.39999999999999,,,,37.0,
45.4,244.99999999999997,,43.0,110.0,,70.30000000000001,,,,63.4,
42.699999999999996,105.0,,140.0,67.0,,,,,,78.89999999999999,
138.0,67.10000000000001,,390.0,42.0,,,,,,84.4,
392.0,41.5,,220.0,22.0,,,,,,113.0,
222.0,21.799999999999997,,43.0,71.0,,,,,,318.0,
43.4,71.3,,190.0,37.0,,,,,,44.5,
187.0,37.199999999999996,,380.0,34.0,,,,,,102.0,
383.0,33.800000000000004,,55.0,150.0,,,,,,68.5,
54.7,149.0,,270.0,17.0,,,,,,38.8,
269.0,17.1,,310.0,110.0,,,,,,35.800000000000004,
305.0,114.0,,150.0,52.0,,,,,,58.50000000000001,
154.0,52.300000000000004,,600.0,280.0,,,,,,65.8,
598.0,277.0,,140.0,220.0,,,,,,120.0,
136.0,217.0,,26.0,38.0,,,,,,21.9,
26.400000000000002,38.1,,7.6,190.0,,,,,,118.0,
7.6,188.0,,56.0,170.0,,,,,,131.0,
56.300000000000004,173.0,,210.0,180.0,,,,,,41.599999999999994,
211.0,181.0,,33.0,97.0,,,,,,74.89999999999999,
32.8,96.7,,190.0,230.0,,,,,,39.800000000000004,
195.0,229.0,,340.0,130.0,,,,,,302.0,
