Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-16.52.29.045.jpk-force	10	5.40000e-06	-4.20000e-06	3.07682e-09	-2.06946e-05	1.08280e-05	2.33666e-11	-2.33666e-11	2.28279e-06	0	4.83613e-19	3.06482e-06	3.12898e-06	0
force-save-2023.07.02-16.52.35.350.jpk-force	10	5.40000e-06	-4.20000e-06	3.23827e-09	-3.61189e-05	1.04627e-05	6.31601e-11	-6.31601e-11	2.04273e-06	0	1.15934e-17	1.53991e-06	2.05984e-06	1
force-save-2023.07.02-16.52.41.660.jpk-force	10	5.40000e-06	-4.20000e-06	3.10217e-09	-2.40611e-05	1.01766e-05	3.02400e-10	-3.02400e-10	2.45582e-06	0	5.14216e-17	2.01993e-06	2.47147e-06	3
force-save-2023.07.02-16.52.48.026.jpk-force	10	5.40000e-06	-4.20000e-06	3.00901e-09	-2.04097e-05	1.00856e-05	3.03095e-11	-3.03095e-11	1.08900e-06	0	2.13932e-19	1.04580e-06	1.07395e-06	0
force-save-2023.07.02-16.53.00.962.jpk-force	11	4.20000e-06	-4.20000e-06	3.07107e-09	-2.92350e-05	9.02141e-06	2.71923e-11	-2.71923e-11	7.78611e-07	0	3.86638e-19	7.65172e-07	8.05080e-07	0
force-save-2023.07.02-16.53.23.541.jpk-force	12	3.00000e-06	-4.20000e-06	2.73223e-09	-2.72215e-06	7.43240e-06	3.65954e-11	-3.65954e-11	7.32381e-07	0	6.15684e-19	3.33595e-06	3.39490e-06	0
force-save-2023.07.02-16.55.00.912.jpk-force	13	1.80000e-06	-4.20000e-06	2.57224e-09	-6.98608e-06	8.70758e-06	2.77651e-11	-2.77651e-11	1.12526e-06	0	2.93486e-19	1.38762e-06	1.42965e-06	0
force-save-2023.07.02-16.55.07.065.jpk-force	13	1.80000e-06	-4.20000e-06	2.62603e-09	-1.20209e-05	8.70635e-06	2.33830e-11	-2.33830e-11	2.08988e-06	0	4.96966e-19	2.05976e-06	2.11655e-06	0
force-save-2023.07.02-16.55.13.270.jpk-force	13	1.80000e-06	-4.20000e-06	2.58544e-09	-1.11968e-05	8.93220e-06	2.39433e-11	-2.39433e-11	2.05540e-06	0	8.96967e-19	2.88178e-06	2.96504e-06	0
force-save-2023.07.02-16.55.19.490.jpk-force	13	1.80000e-06	-4.20000e-06	2.58067e-09	-1.19498e-05	8.81802e-06	2.72105e-11	-2.72105e-11	1.37878e-06	0	5.30610e-19	2.26012e-06	2.32949e-06	0
force-save-2023.07.02-16.55.22.732.jpk-force	14	6.00000e-07	-4.20000e-06	2.50123e-09	-3.04634e-06	9.00780e-06	2.63210e-11	-2.63210e-11	7.99292e-07	0	8.49954e-19	2.99780e-06	3.10261e-06	0
force-save-2023.07.02-16.55.31.871.jpk-force	14	6.00000e-07	-4.20000e-06	2.51737e-09	-7.43202e-06	8.92576e-06	2.91531e-11	-2.91531e-11	1.98762e-06	0	6.91077e-19	3.05262e-06	3.14387e-06	0
force-save-2023.07.02-16.55.38.032.jpk-force	14	6.00000e-07	-4.20000e-06	2.57508e-09	-1.38472e-05	9.09078e-06	2.67594e-11	-2.67594e-11	2.87428e-06	0	1.22941e-18	2.85977e-06	2.97149e-06	0
