Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-18.12.05.050.jpk-force,3,1.87e-07,2.06e-07,313.99999999999994,154.0,,7.930000000000001,67.3,1.45e-09
force-save-2022.09.22-18.11.21.429.jpk-force,11,5.04e-07,9.82e-07,1549.9999999999998,289.0,,7.92,32.2,1.36e-10
force-save-2022.09.22-18.39.45.855.jpk-force,0,2.13e-08,2.12e-07,519.9999999999999,35.0,,7.8999999999999995,102.0,1.02e-09
force-save-2022.09.22-18.39.43.311.jpk-force,2,2.88e-07,6.84e-07,760.9999999999999,2880.0,,7.8500000000000005,36.2,1.22e-09
force-save-2022.09.22-18.37.10.465.jpk-force,1,2.42e-06,2.71e-06,3269.9999999999995,365.0,,7.81,103.0,4.57e-10
force-save-2022.09.22-18.31.06.628.jpk-force,2,1.2e-06,1.36e-06,2029.9999999999998,23.0,,7.81,484.0,1.69e-09
force-save-2022.09.22-18.43.01.544.jpk-force,0,6.31e-11,3.44e-07,388.99999999999994,1520.0,,7.8,52.199999999999996,2.82e-09
force-save-2022.09.22-18.09.49.860.jpk-force,3,3.21e-07,1.08e-06,1359.9999999999998,188.0,,7.779999999999999,141.0,1.26e-09
force-save-2022.09.22-18.16.28.605.jpk-force,4,1.7e-07,2.03e-07,328.99999999999994,97.5,,7.759999999999999,87.9,1.64e-09
force-save-2022.09.22-18.11.09.452.jpk-force,6,6.04e-07,1.11e-06,1409.9999999999998,433.0,,7.759999999999999,59.89999999999999,4.97e-10
force-save-2022.09.22-18.18.35.262.jpk-force,1,1.71e-07,3.44e-07,584.0,96.7,,7.759999999999999,77.6,7.86e-10
force-save-2022.09.22-18.15.09.910.jpk-force,2,1.26e-07,2.8e-07,496.9999999999999,156.0,,7.720000000000001,42.699999999999996,4.95e-10
force-save-2022.09.22-18.26.13.246.jpk-force,3,6.69e-07,1.09e-06,1230.0,1350.0,,7.71,57.699999999999996,1.03e-09
force-save-2022.09.22-18.21.05.751.jpk-force,0,1.53e-07,5.14e-07,595.0,1820.0,,7.6899999999999995,31.800000000000004,1e-09
force-save-2022.09.22-18.34.45.912.jpk-force,0,1.13e-07,1.08e-06,1379.9999999999998,558.0,,7.6899999999999995,43.1,3.56e-10
force-save-2022.09.22-18.15.22.218.jpk-force,5,8.93e-07,1.3e-06,2029.9999999999998,301.0,,7.68,31.299999999999997,1.04e-10
force-save-2022.09.22-18.41.21.126.jpk-force,1,7.42e-07,1.2e-06,1459.9999999999998,571.0,,7.65,60.1,5.75e-10
force-save-2022.09.22-18.10.25.679.jpk-force,1,1.23e-07,6.66e-07,881.9999999999999,245.99999999999997,,7.65,78.1,8.42e-10
force-save-2022.09.22-18.25.15.115.jpk-force,0,3.32e-08,3.26e-07,417.99999999999994,372.0,,7.65,62.7,1.64e-09
force-save-2022.09.22-18.32.14.559.jpk-force,2,1.71e-06,2.85e-06,3210.0,1790.0,,7.640000000000001,45.2,3.2e-10
force-save-2022.09.22-18.30.32.750.jpk-force,0,5.54e-08,5.5e-07,1049.9999999999998,109.0,,7.630000000000001,52.199999999999996,2.69e-10
force-save-2022.09.22-18.12.19.569.jpk-force,8,2.44e-07,2.65e-07,449.99999999999994,74.89999999999999,,7.62,100.0,1.3e-09
force-save-2022.09.22-18.33.08.009.jpk-force,1,7.1e-08,4.24e-07,501.99999999999994,920.0,,7.59,49.8,1.62e-09
force-save-2022.09.22-18.09.49.860.jpk-force,2,1.23e-07,2.3e-07,340.99999999999994,134.0,,7.59,85.1,1.83e-09
force-save-2022.09.22-18.19.28.461.jpk-force,1,6.43e-07,1.27e-06,1430.0,1740.0,,7.579999999999999,51.1,8.48e-10
force-save-2022.09.22-18.32.24.232.jpk-force,0,3.3e-08,3.15e-07,543.0,147.0,,7.550000000000001,49.3,5.41e-10
force-save-2022.09.22-18.33.54.494.jpk-force,0,3.25e-08,3.27e-07,425.99999999999994,295.0,,7.51,72.9,1.79e-09
force-save-2022.09.22-18.12.19.569.jpk-force,6,2.02e-07,2.12e-07,318.99999999999994,49.2,,7.49,221.0,4.56e-09
force-save-2022.09.22-18.17.58.969.jpk-force,3,3.6e-07,8.53e-07,1049.9999999999998,447.0,,7.47,72.8,9.25e-10
force-save-2022.09.22-18.42.54.124.jpk-force,1,1.24e-06,1.68e-06,2139.9999999999995,109.0,,7.459999999999999,224.0,1.17e-09
force-save-2022.09.22-18.23.57.510.jpk-force,4,3.25e-07,1.42e-06,1739.9999999999998,433.0,,7.450000000000001,74.60000000000001,5.69e-10
force-save-2022.09.22-18.14.30.621.jpk-force,1,1.46e-07,2.2e-07,323.99999999999994,89.5,,7.44,131.0,2.91e-09
force-save-2022.09.22-18.25.58.783.jpk-force,1,2.12e-07,5.36e-07,1759.9999999999998,33.199999999999996,,7.44,71.0,2.36e-10
force-save-2022.09.22-18.39.19.018.jpk-force,0,3.27e-11,2.32e-07,503.9999999999999,46.699999999999996,,7.42,94.5,9.73e-10
force-save-2022.09.22-18.43.13.642.jpk-force,0,8.76e-08,8.61e-07,1060.0,333.0,,7.41,90.69999999999999,1.08e-09
force-save-2022.09.22-18.35.52.111.jpk-force,2,1.34e-06,1.95e-06,2349.9999999999995,390.0,,7.359999999999999,96.0,5.93e-10
force-save-2022.09.22-18.22.51.427.jpk-force,2,3.05e-07,3.17e-07,394.99999999999994,470.00000000000006,,7.359999999999999,60.199999999999996,1.84e-09
force-save-2022.09.22-18.22.39.133.jpk-force,0,1.77e-07,1.73e-06,2730.0,248.00000000000003,,7.33,37.1,8.98e-11
force-save-2022.09.22-18.37.27.341.jpk-force,0,3.84e-08,3.79e-07,602.9999999999999,156.0,,7.33,57.8,6.17e-10
force-save-2022.09.22-18.30.18.044.jpk-force,1,1.96e-07,5.74e-07,780.0,356.0,,7.32,46.9,5.45e-10
force-save-2022.09.22-18.12.43.797.jpk-force,5,1.86e-07,2.42e-07,328.99999999999994,289.0,,7.3100000000000005,57.4,1.56e-09
force-save-2022.09.22-18.12.19.569.jpk-force,10,2.97e-07,3.82e-07,453.99999999999994,617.0,,7.3,69.6,2.33e-09
